fid,class,natura_cod,status,area,region
81722,forest,,,62165.0102,Harju
81723,forest,,,439.967702,Harju
81727,forest,,,59884.9505,Harju
81740,forest,,,2435.12434,Harju
81754,forest,,,41401.6269,Harju
81757,forest,,,88880.6144,Harju
81758,forest,,,3376.87884,Harju
81769,forest,,,1144.30929,Harju
81774,forest,,,10118.7704,Harju
81781,forest,,,15886.0806,Harju
81792,forest,,,15652.2422,Harju
81794,forest,,,0.27465511,Harju
81804,forest,,,1534.96761,Harju
81805,forest,,,20891.2597,Harju
81819,forest,,,238743.016,Harju
81831,forest,,,410.916186,Harju
81848,forest,,,5330.83192,Harju
81851,forest,,,19375.544,Harju
81865,forest,,,24825.0165,Harju
81869,forest,,,2906.64162,Harju
81874,forest,,,75636.3018,Harju
81895,forest,,,607.293345,Harju
81896,forest,,,1240.97153,Harju
81910,forest,,,22398.6364,Harju
81921,forest,,,27255.2771,Harju
81923,forest,,,4780.56061,Harju
81925,forest,,,1117.65778,Harju
81930,forest,,,8.11965532,Harju
81934,forest,,,4956.87265,Harju
81936,forest,,,28044.788,Harju
81943,forest,,,78.4730213,Harju
81950,forest,,,164.734281,Harju
81951,forest,,,3.8434444,Harju
81964,forest,,,33692.8296,Harju
81967,forest,,,7255.07204,Harju
81976,forest,,,57872.427,Harju
82023,forest,,,2323.76941,Harju
82029,forest,,,5881.53051,Harju
82061,forest,,,53596.3878,Harju
82062,forest,,,1406445.24,Harju
82063,forest,,,168934.551,Harju
82064,forest,,,714274.749,Harju
82074,forest,,,30198.7929,Harju
82075,forest,,,3252.36138,Harju
82088,forest,,,1091130.94,Harju
82089,forest,,,9330.90214,Harju
82093,forest,,,43023.0695,Harju
82096,forest,,,137.997179,Harju
82097,forest,,,1407.65258,Harju
82126,forest,,,416.169291,Harju
82138,forest,,,58496.2862,Harju
82141,forest,,,55.046748,Harju
82142,forest,,,1021.31218,Harju
82143,forest,,,912.982763,Harju
82144,forest,,,6899.15128,Harju
82145,forest,,,2536.06229,Harju
82146,forest,,,140.148159,Harju
82153,forest,,,2119.45093,Harju
82240,forest,,,2597.30736,Harju
82241,forest,,,36461.2571,Harju
82243,forest,,,44625.427,Harju
82245,forest,,,222092.572,Harju
82246,forest,,,828309.849,Harju
82247,forest,,,1130.2221,Harju
82250,forest,,,2022.9151,Harju
82255,forest,,,6172.36508,Harju
82258,forest,,,484737.527,Harju
82265,forest,,,1023.88812,Harju
82293,forest,,,8436.40251,Harju
82302,forest,,,4192.31215,Harju
82326,forest,,,5922.74868,Harju
82331,forest,,,1441.90128,Harju
82341,forest,,,751674.466,Harju
82342,forest,,,207303.859,Harju
82343,forest,,,828217.775,Harju
82344,forest,,,837442.027,Harju
82352,forest,,,23444.1826,Harju
82353,forest,,,147854.513,Harju
82369,forest,,,6132.47106,Harju
82371,forest,,,13396.8243,Harju
82412,forest,,,11108.0717,Harju
82424,forest,,,2369.14163,Harju
82444,forest,,,1246828.07,Harju
82449,forest,,,69467.9144,Harju
82503,forest,,,2181.1747,Harju
82538,forest,,,290.358539,Harju
82550,forest,,,35348.7777,Harju
82553,forest,,,710370.1,Harju
82559,forest,,,259661.413,Harju
82561,forest,,,5696.22098,Harju
82589,forest,,,383.557714,Harju
82618,forest,,,4009.40578,Harju
82642,forest,,,2980.27823,Harju
82655,forest,,,67674.8139,Harju
82679,forest,,,133760.5,Harju
82682,forest,,,107.818599,Harju
82691,forest,,,8.86037217,Harju
82694,forest,,,8932.12441,Harju
82697,forest,,,2941.09453,Harju
82708,forest,,,245988.109,Harju
82736,forest,,,68747.0383,Harju
82752,forest,,,4333.39171,Harju
82761,forest,,,127.566737,Harju
82762,forest,,,272.221584,Harju
82763,forest,,,557109.571,Harju
82775,forest,,,23440.662,Harju
82779,forest,,,126616.604,Harju
82780,forest,,,800983.257,Harju
82782,forest,,,35239.0844,Harju
82787,forest,,,7997.76273,Harju
82790,forest,,,2148.0043,Harju
82808,forest,,,5494.501,Harju
82809,forest,,,86893.2548,Harju
82811,forest,,,170459.161,Harju
82903,forest,,,1555.95338,Harju
83028,forest,,,12507.709,Harju
83029,forest,,,90119.4499,Harju
83063,forest,,,635.790862,Harju
83096,forest,,,144011.179,Harju
83126,forest,,,1764.75163,Harju
83135,forest,,,25132.5246,Harju
83168,forest,,,2433.81921,Harju
83169,forest,,,225.643928,Harju
83178,forest,,,844998.896,Harju
83179,forest,,,820017.99,Harju
83180,forest,,,512595.595,Harju
83191,forest,,,789.486356,Harju
83214,forest,,,748.938632,Harju
83218,forest,,,112582.808,Harju
83219,forest,,,15012.9743,Harju
83223,forest,,,198.927711,Harju
83233,forest,,,8694.36992,Harju
83248,forest,,,1752.80413,Harju
83253,forest,,,383606.402,Harju
83269,forest,,,177879.622,Harju
83273,forest,,,243660.371,Harju
83276,forest,,,325533.755,Harju
83301,forest,,,109492.315,Harju
83308,forest,,,509605.563,Harju
83312,forest,,,12300.4223,Harju
83328,forest,,,40213.7626,Harju
83364,forest,,,225106.656,Harju
83365,forest,,,302197.95,Harju
83367,forest,,,439638.015,Harju
83368,forest,,,10342.3553,Harju
83369,forest,,,727193.731,Harju
83370,forest,,,435746.796,Harju
83371,forest,,,279027.787,Harju
83389,forest,,,68775.7466,Harju
83393,forest,,,71112.4198,Harju
83395,forest,,,4714.71453,Harju
83396,forest,,,6061.07374,Harju
83404,forest,,,1502410.61,Harju
83412,forest,,,1330963.98,Harju
83415,forest,,,20543.8983,Harju
83424,forest,,,1511.51512,Harju
83431,forest,,,263538.042,Harju
83437,forest,,,406969.181,Harju
83439,forest,,,93892.4361,Harju
83446,forest,,,1277.64503,Harju
83451,forest,,,73324.9626,Harju
83464,forest,,,24109.6552,Harju
83465,forest,,,49439.4218,Harju
83468,forest,,,6436.14618,Harju
83478,forest,,,3315.53193,Harju
83479,forest,,,2766.22586,Harju
83480,forest,,,7109.94628,Harju
83492,forest,,,13074.7884,Harju
83501,forest,,,987.831213,Harju
83507,forest,,,23683.3331,Harju
83519,forest,,,2407.72399,Harju
83524,forest,,,529.762084,Harju
83529,forest,,,2548.93684,Harju
83550,forest,,,9592.92436,Harju
83552,forest,,,1988.73623,Harju
83554,forest,,,30590.8773,Harju
83568,forest,,,20210.8053,Harju
83575,forest,,,33647.6893,Harju
83576,forest,,,9448.38196,Harju
83577,forest,,,67087.0413,Harju
83596,forest,,,197321.588,Harju
83598,forest,,,142585.044,Harju
83615,forest,,,367733.913,Harju
83627,forest,,,1206.82531,Harju
83630,forest,,,3037.24961,Harju
83635,forest,,,6899.21398,Harju
83670,forest,,,513393.505,Harju
83688,forest,,,17575.4918,Harju
83719,forest,,,880327.353,Harju
83723,forest,,,0.27641703,Harju
83724,forest,,,2803.04859,Harju
83728,forest,,,1505.71269,Harju
